Estado,Cidade,CNPJ,Sigla,Razão Social,"Resultado
2ª FASE","Linha
Solicitada",Valor,Classificação,DATA INÍCIO,DATA FIM,Processo SEI
São Paulo,JANDIRA,22626323000128,AETJANDIRA,ASSOCIAÇÃO DOS ENGENHEIROS E TECNOLOGOS DE JANDIRA,Classificada,3,"R$ 50.000,00",23,-,-,00.007539/2024-75
São Paulo,TUPÃ,32595842000120,AEATECOP,"ASSOCIAÇÃO DOS ENGENHEIROS, AGRÔNOMOS E TECNÓLOGOS DO CENTRO OESTE PAULISTA",Classificada,3,"R$ 50.000,00",24,2/10/2025,6/30/2025,00.007541/2024-44
São Paulo,ADAMANTINA,49842578000184,AEAANP,"ASSOCIAÇÃO DOS ENGENHEIROS, ARQUITETOS E AGRÔNOMOS DA NOVA ALTA PAULISTA",Classificada,3,"R$ 50.000,00",25,2/11/2025,6/30/2025,00.007542/2024-99
Santa Catarina,LAGES,83080077000146,AEA,"ASSOCIAÇÃO DOS ENGENHEIROS, ARQUITETOS E AGRONÔMOS DO PLANALTO CATARINENSE",Classificada,3,"R$ 50.000,00",26,2/10/2025,6/30/2025,00.007469/2024-55
Rondônia,ARIQUEMES,23208094000194,AREA,ASSOCIAÇÃO RONDONIENSE DOS ENGENHEIROS AMBIENTAIS,Classificada,3,"R$ 49.160,00",27,2/11/2025,6/30/2025,00.007455/2024-31
São Paulo,SÃO JOSÉ DOS CAMPOS,48273361000138,AEA,ASSOCIAÇÃO DE ENGENHEIROS E ARQUITETOS DE SÃO JOSÉ DOS CAMPOS,Classificada,3,"R$ 50.000,00",28,2/10/2025,6/30/2025,00.007501/2024-01
São Paulo,CATANDUVA,49985039000102,AEAACATANDUVA,"ASSOCIAÇÃO DOS ENGENHEIROS, ARQUITETOS E AGRÔNOMOS DE CATANDUVA",Classificada,3,"R$ 50.000,00",29,2/10/2025,6/30/2025,00.007549/2024-19
Rio Grande do Sul,PORTO ALEGRE,90886805000177,AEAPA,ASSOCIAÇÃO DOS ENGENHEIROS AGRÔNOMOS DE PORTO ALEGRE,Classificada,3,"R$ 50.000,00",30,2/10/2025,6/30/2025,00.007459/2024-10
Santa Catarina,JOINVILLE,32592993000124,AEABABITONGA,AEA BABITONGA,Classificada,3,"R$ 50.000,00",31,2/10/2025,6/30/2025,00.007464/2024-22
Rio de Janeiro,RIO DE JANEIRO,42509190000117,FEBRAE,"FEDERAÇÃO BRASILEIRA DE ENGENHEIROS, AGRÔNOMOS E ARQUITETOS",Classificada,3,"R$ 50.000,00",32,2/10/2025,6/30/2025,00.007449/2024-84
São Paulo,SERTÃOZINHO,51809416000196,AEAAS,"ASSOCIAÇÃO DE ENGENHARIA, ARQUITETURA E AGRONOMIA DE SERTÃOZINHO",Classificada,3,"R$ 50.000,00",33,2/10/2025,6/30/2025,00.007489/2024-26
Mato Grosso do Sul,CAMPO GRANDE,15923220000164,ACEA,ASSOCIAÇÃO CAMPOGRANDENSE DE ENGENHEIROS AGRONÔMOS,Classificada,3,"R$ 50.000,00",34,2/20/2025,6/30/2025,00.007428/2024-69
Amazonas,MANAUS,04532701000122,AEP-AM,ASSOCIAÇÃO DOS ENGENHEIROS DE PESCA DO AMAZONAS,Classificada,3,"R$ 50.000,00",35,2/9/2025,6/30/2025,00.007385/2024-11
São Paulo,BERTIOGA,54346606000102,AEAAB,"ASSOCIAÇÃO DOS ENGENHEIROS, ARQUITETOS E AGRÔNOMOS DE BERTIOGA",Classificada,3,"R$ 50.000,00",36,2/20/2025,6/30/2025,00.007547/2024-11
São Paulo,PRESIDENTE EPITÁCIO,53308870000199,AEAPE,ASSOCIAÇÃO DOS ENGENHEIROS E AGRÔNOMOS DE PRESIDENTE EPITÁCIO,Classificada,3,"R$ 50.000,00",37,2/20/2025,6/30/2025,00.007515/2024-16
Minas Gerais,BELO HORIZONTE,08803152000134,ABEE,ASSOCIACAO BRASILEIRA DE ENGENHEIROS ELETRICISTAS DEPARTAMENTO DE MINAS GERAIS,Classificada,3,"R$ 50.000,00",38,2/10/2025,6/30/2025,00.007415/2024-90
São Paulo,RIO CLARO,46314464000173,AERC,"ASSOCIAÇÃO DE ENGENHARIA, ARQUITETURA, AGRONOMIA E GEOLOGIA DE RIO CLARO",Classificada,3,"R$ 50.000,00",39,2/20/2025,6/30/2025,00.007494/2024-39
Mato Grosso do Sul,CAMPO GRANDE,00980987000158,SENGE,SINDICATO DOS ENGENHEIROS DE MATO GROSSO DO SUL,Classificada,3,"R$ 50.000,00",40,2/20/2025,6/29/2025,00.007429/2024-11
São Paulo,SÃO JOÃO DA BOA VISTA,51899235000106,AEA,"ASSOCIAÇÃO DOS ENGENHEIROS, ARQUITETOS E AGRÔNOMOS DE SÃO JOÃO DA BOA VISTA",Classificada,3,"R$ 50.000,00",41,2/3/2025,6/30/2025,00.007555/2024-68
São Paulo,AMERICANA,51055010000165,AEAA,"ASSOCIAÇÃO DOS ENGENHEIROS, AGRÔNOMOS E ARQUITETOS DE AMERICANA",Classificada,3,"R$ 49.800,00",42,3/24/2025,3/26/2025,00.007540/2024-08
São Paulo,MONTE ALTO,60240546000141,AEAAMA,"ASSOCIAÇÃO DOS ENGENHEIROS, ARQUITETOS E AGRÔNOMOS DE MONTE ALTO",Classificada,3,"R$ 49.520,00",43,2/17/2025,6/30/2025,00.007554/2024-13
São Paulo,JUNDIAI,44645166000130,AEJ,ASSOCIAÇÃO DOS ENGENHEIROS DE JUNDIAI,Classificada,3,"R$ 50.000,00",44,3/31/2025,4/2/2025,00.007510/2024-93
São Paulo,SÃO PAULO,61750337000100,AEEFSJ,ASSOCIAÇÃO DOS ENGENHEIROS DA ESTRADA DE FERRO SANTOS A JUNDIAÍ,Classificada,3,"R$ 49.945,58",45,2/1/2025,6/30/2025,00.007521/2024-73
São Paulo,LINS,49889488000149,SENAGLINS,"ASSOCIAÇÃO DOS ENGENHEIROS, ARQUITETOS E AGRÔNOMOS DA REGIÃO ADMINISTRATIVA DE LINS",Classificada,3,"R$ 50.000,00",46,5/12/2025,5/14/2025,00.007575/2024-39
São Paulo,AVARÉ,51522290000174,AREA,"ASSOCIAÇÃO REGIONALDOS ENGENHEIROS, ARQUITETOS E AGRONOMOS DE AVARE",Classificada,3,"R$ 50.000,00",47,2/10/2025,7/30/2025,00.007572/2024-03
Minas Gerais,BELO HORIZONTE,08368841000168,ABENC,ASSOCIAÇÃO BRASILEIRA DE ENGENHEIROS CIVIS - DEPARTAMENTO DO ESTADO DE MINAS GERAIS,Classificada,3,"R$ 50.000,00",48,3/1/2025,5/30/2025,00.007414/2024-45
Minas Gerais,BELO HORIZONTE,42788174000100,ABEMEC,ASSOCIAÇÃO DE ENGENHARIA MECÂNICA E INDUSTRIAL DE MINAS GERAIS,Classificada,3,"R$ 50.000,00",49,2/10/2025,6/30/2025,00.007417/2024-89
Mato Grosso do Sul,CAMPO GRANDE,07713454000159,ABEE,ASSOCIAÇÃO BRASILEIRA DE ENGENHEIROS ELETRICISTAS SEÇÃO MATO GROSSO DO SUL,Classificada,3,"R$ 50.000,00",50,2/1/2025,6/30/2025,00.007426/2024-70
